"","x"
"2587",13.9663426666666
"2588",36.4550953333337
"2596",13.2954066666664
"2599",29.6365746666668
"2604",31.180926333333
"2620",17.7089756666667
"2621",7.21134733333315
"2637",50.6892146666664
"2642",29.1989336666666
"2645",-5.71702100000016
"2647",113.347232666667
"2651",15.1323769999999
"2652",-22.2706870000004
"2653",-77.0510879999999
"2678",23.4216776666672
"2683",33.5245166666666
"2684",38.1887486666667
"2688",42.6098070000003
"2690",32.1762589999998
"2696",5.76226700000007
"2698",13.392950666667
"2700",22.5648393333333
"2706",-58.1099320000001
"2707",-54.1226466666669
"2708",-32.0033470000001
"2709",-14.8831809999997
"2711",-14.3396953333331
"2716",-7.0774856666668
"2721",-21.2742559999997
"2724",-36.7269303333333
"2725",-22.0709053333333
"2726",-25.1518859999999
"2733",-36.8682973333337
"2735",-18.4916713333337
"2740",-1.78989666666666
"2745",-2.9202853333336
"2758",13.3563189999998
"2776",-60.2103196666667
"2784",-21.3158736666667
"2785",-12.5083976666665
"2787",2.15614800000014
"2790",-1.16320766666695
"2795",-37.5476213333334
"2800",26.3829943333333
"2808",6.13051900000005
"2810",8.44708400000002
"2811",2.15586466666673
"2814",-76.777153
"2815",-142.677652666667
"2818",-20.5589876666666
"2824",-27.1380399999998
"2834",-16.3149943333333
"2837",30.9751206666667
"2840",-15.38687
"2843",29.906759
"2851",64.5051756666671
"2855",55.4394000000002
"2858",57.2774446666667
"2868",-21.9161583333328
"2876",-51.3188990000001
"2880",-62.9069360000001
"2883",-22.834625
"2886",-64.6175956666664
"2890",-31.4133913333333
"2892",-40.3386383333332
"2901",-4.81193866666695
"2905",120.081225666667
"2907",6.27711700000009
"2913",43.35886
"2915",41.8409360000003
"2928",-8.63818500000002
"2942",30.6252443333335
"2946",9.65795700000012
"2953",23.6727510000003
"2956",24.2574183333334
"2961",67.6143283333336
"2967",-40.7073523333333
"2977",17.4477476666666
"2979",-13.6551053333334
"2986",-44.7792066666664
"2987",-19.0166706666669
"2993",4.86797933333378
"2995",24.6510460000002
"2997",-19.9854250000001
"3002",-0.0589653333332762
"3009",39.3379946666669
"3010",23.263539333333
"3011",15.5377693333337
"3017",-10.3116379999999
"3019",-3.23165066666661
"3026",-19.6690413333334
"3027",-9.46703066666669
"3028",-23.4837843333335
"3030",-44.3217753333331
"3040",6.91848266666693
"3050",1.14826299999982
"3053",19.393511
"3056",26.2524939999994
"3060",29.6294750000002
"3061",16.3585773333334
"3068",14.5117406666666
"3071",-14.0006430000003
"3072",-34.8422310000001
"3076",23.8099566666667
"3081",-17.4276023333334
"3087",-17.4046756666667
"3091",-12.7229253333333
"3102",93.2444673333332
"3107",-34.8453873333335
"3109",-6.57903766666664
"3116",57.54573
"3118",2.16208400000005
"3123",54.4773849999999
"3124",52.3538863333333
"3126",80.6273056666668
"3130",65.9684113333328
"3133",100.287289666667
"3141",19.7821463333332
"3148",35.5466286666665
"3152",15.1588880000002
"3163",17.5332599999997
"3174",50.5819723333332
"3177",51.1925249999999
"3180",21.7920243333335
"3182",3.37512933333323
"3194",-1.73618033333298
"3195",10.9566130000001
"3213",25.3062373333328
"3215",-1.17914900000028
"3217",1.8533526666663
"3219",-0.752715666666631
"3221",-19.2859300000002
"3223",15.4832000000001
"3235",21.9962443333332
"3237",21.5146019999997
"3243",14.984709
"3244",23.612237333333
"3246",18.8389009999999
"3247",12.0982463333332
"3255",16.4268010000003
"3258",14.9604340000001
"3259",-3.83072399999992
"3266",-21.7200333333335
"3267",0.0736966666664784
"3273",-24.8433523333333
"3275",-43.4706536666665
"3276",-50.153235
"3285",-8.62840599999981
"3287",-22.1853090000002
"3289",-6.46631333333312
"3297",37.9832713333337
"3300",2.90306566666663
"3305",-20.425385333333
"3314",51.9242159999999
"3317",-4.45996566666668
"3321",-12.8806916666665
"3328",-22.1527990000002
"3333",29.7519556666673
"3335",39.0831456666667
"3339",11.2989759999998
"3342",12.8901909999995
"3343",-5.65868
"3348",32.2219160000004
"3349",30.4322420000003
"3351",24.6289086666666
"3353",32.8335783333328
"3359",38.6430156666665
"3364",17.7221790000003
"3367",54.2935266666666
"3374",2.99229866666656
"3376",2.54174233333333
"3378",24.5504513333335
"3381",33.5883716666669
"3387",21.1345296666666
"3396",-8.5602466666669
"3407",-45.8758999999998
"3409",-28.3768043333333
"3414",-27.0209293333335
"3415",-26.4185046666666
"3417",-20.4062443333335
"3419",-6.95280100000014
"3423",-19.8620023333333
"3437",-18.2204560000002
"3438",-4.88674866666668
"3461",-21.7941019999998
"3466",-53.3552156666667
"3467",-11.4239713333334
"3480",-12.2120096666663
"3487",77.8693170000001
"3488",135.484311333334
"3489",61.2497896666664
"3494",29.46045
"3497",10.7381153333336
"3503",4.0199686666665
"3510",-77.1389536666663
"3511",-131.896819999999
"3529",-36.4417693333335
"3530",-22.6551736666665
"3532",-24.826111333333
"3537",-34.3328030000002
"3542",-28.448075
"3545",2.83650966666687
"3546",-7.52004533333297
"3551",-35.678818666667
"3554",5.13041200000009
"3556",-0.674699999999916
"3566",47.5448450000001
"3568",34.0307313333333
"3571",31.4750656666668
"3574",38.9032300000001
"3575",67.2944570000002
"3584",9.59112300000015
"3585",-17.089524
"3596",9.07551966666642
"3598",7.69787933333328
