OBSPWR,4HR_FCSTPWR,OBS_DIFF,4HR_DIFF,4HR_ERROR,DIFF_ERROR
1010.7,1008.3,-38,12.9,-2.4,50.9
1139.4,1027.3,128.7,19,-112.1,-109.7
1249.4,1041.6,110,14.3,-207.8,-95.7
1322.5,1092.4,73.1,50.8,-230.1,-22.3
1324.6,1094.9,2.1,2.5,-229.7,0.4
1319.5,1110,-5.1,15.1,-209.5,20.2
1248.2,1070.5,-71.3,-39.5,-177.7,31.8
1174.7,1056.4,-73.5,-14.1,-118.3,59.4
1108.8,1069.3,-65.9,12.9,-39.5,78.8
1081.9,1076.5,-26.9,7.2,-5.4,34.1
1079.5,1076.6,-2.4,0.1,-2.9,2.5
1130.3,1119.5,50.8,42.9,-10.8,-7.9
1095.3,1058.5,-35,-61,-36.8,-26
1067.4,1060.8,-27.9,2.3,-6.6,30.2
1158.8,1081,91.4,20.2,-77.8,-71.2
1301.7,1094.9,142.9,13.9,-206.8,-129
1373.3,1127.2,71.6,32.3,-246.1,-39.3
1253.7,1131.5,-119.6,4.3,-122.2,123.9
1146.4,1126.2,-107.3,-5.3,-20.2,102
1062.1,1060.3,-84.3,-65.9,-1.8,18.4
1053.1,1034.1,-9,-26.2,-19,-17.2
1106.4,1049.2,53.3,15.1,-57.2,-38.2
1145.9,1032,39.5,-17.2,-113.9,-56.7
1222.9,1067.3,77,35.3,-155.6,-41.7
1280.2,1099.7,57.3,32.4,-180.5,-24.9
1320.4,1096.1,40.2,-3.6,-224.3,-43.8
1430,1136.9,109.6,40.8,-293.1,-68.8
1503.6,1185.4,73.6,48.5,-318.2,-25.1
1541,1219.3,37.4,33.9,-321.7,-3.5
1515.8,1263.7,-25.2,44.4,-252.1,69.6
1491.7,1254,-24.1,-9.7,-237.7,14.4
1500.1,1271,8.4,17,-229.1,8.6
1486.9,1284,-13.2,13,-202.9,26.2
1518.6,1289.4,31.7,5.4,-229.2,-26.3
1505.2,1291.8,-13.4,2.4,-213.4,15.8
1491.8,1310.2,-13.4,18.4,-181.6,31.8
1481.2,1297.4,-10.6,-12.8,-183.8,-2.2
1483.7,1287.6,2.5,-9.8,-196.1,-12.3
1495.9,1317.6,12.2,30,-178.3,17.8
1505,1313.4,9.1,-4.2,-191.6,-13.3
1530.7,1310,25.7,-3.4,-220.7,-29.1
1545.4,1314.5,14.7,4.5,-230.9,-10.2
1402,1289.8,-143.4,-24.7,-112.2,118.7
1241.3,1216.6,-160.7,-73.2,-24.7,87.5
1099.9,1160.2,-141.4,-56.4,60.3,85
1073.2,1128.3,-26.7,-31.9,55.1,-5.2
1061.1,1074.2,-12.1,-54.1,13.1,-42
925.9,1005.3,-135.2,-68.9,79.4,66.3
763.6,926.3,-162.3,-79,162.7,83.3
639.7,848.7,-123.9,-77.6,209,46.3
568.5,777.7,-71.2,-71,209.2,0.2
499.1,715.4,-69.4,-62.3,216.3,7.1
520.5,672.2,21.4,-43.2,151.7,-64.6
482.7,632.6,-37.8,-39.6,149.9,-1.8
399.1,590.5,-83.6,-42.1,191.4,41.5
304.3,559.7,-94.8,-30.8,255.4,64
293.8,510.5,-10.5,-49.2,216.7,-38.7
276.8,492.8,-17,-17.7,216,-0.7
278.6,472.4,1.8,-20.4,193.8,-22.2
315.7,470.8,37.1,-1.6,155.1,-38.7
355.8,480.4,40.1,9.6,124.6,-30.5
539.5,527.8,183.7,47.4,-11.7,-136.3
559.9,553.5,20.4,25.7,-6.4,5.3
442.5,528.5,-117.4,-25,86,92.4
